,DataPesquisa,de,para,Ida,Volta,preco
81,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-16,1959
82,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-17,2000
83,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-18,1991
84,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-19,1999
85,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-20,2026
86,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-21,2064
87,25/01/2020 15:13:21,POA,BRC,2020-07-05,2020-07-22,2027
88,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-16,2118
89,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-17,2127
90,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-18,2092
91,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-19,2085
92,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-20,2283
93,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-21,2231
94,25/01/2020 15:13:21,POA,BRC,2020-07-06,2020-07-22,2205
95,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-16,2118
96,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-17,2123
97,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-18,2099
98,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-19,2090
99,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-20,2290
100,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-21,2216
101,25/01/2020 15:13:21,POA,BRC,2020-07-07,2020-07-22,2182
102,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-16,1985
103,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-17,1980
104,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-18,1981
105,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-19,1998
106,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-20,1978
107,25/01/2020 15:13:22,POA,LIM,2020-07-01,2020-07-21,1978
